セット,成分,固有値,寄与率,累積寄与率,parallel_analysis基準値(乱数95%点),採用(固有値>基準値)
MMSE下位項目(ベースライン),PC1,1.840947049519634,0.2301183811899542,0.2301183811899542,2.100563210294659,False
MMSE下位項目(ベースライン),PC2,1.5656484692336694,0.19570605865420862,0.42582443984416285,1.6635486931292784,False
MMSE下位項目(ベースライン),PC3,1.2547719506031014,0.15684649382538765,0.5826709336695505,1.3752242191257533,False
MMSE下位項目(ベースライン),PC4,1.1111947352969038,0.13889934191211295,0.7215702755816634,1.1581082322966054,False
MMSE下位項目(ベースライン),PC5,0.9320528094298055,0.11650660117872566,0.8380768767603891,0.9723043875310132,False
MMSE下位項目(ベースライン),PC6,0.6336598120033999,0.07920747650042498,0.9172843532608141,0.8144632191153769,False
MMSE下位項目(ベースライン),PC7,0.4749915518882681,0.059373943986033496,0.9766582972468476,0.6534479195563176,False
MMSE下位項目(ベースライン),PC8,0.18673362202521926,0.023341702753152404,1.0,0.49455889431492883,False
MMSE下位項目(Δ=18-0ヶ月),PC1,2.5447107947262695,0.25447107947262704,0.25447107947262704,2.3363541393743628,True
MMSE下位項目(Δ=18-0ヶ月),PC2,1.6286767036762735,0.1628676703676274,0.41733874984025443,1.8704554886252944,False
MMSE下位項目(Δ=18-0ヶ月),PC3,1.2518024983268188,0.12518024983268192,0.5425189996729364,1.5612870452364935,False
MMSE下位項目(Δ=18-0ヶ月),PC4,1.0960598343662378,0.10960598343662381,0.6521249831095601,1.3230873002529413,False
MMSE下位項目(Δ=18-0ヶ月),PC5,0.9825854009077907,0.0982585400907791,0.7503835232003392,1.125553280763992,False
MMSE下位項目(Δ=18-0ヶ月),PC6,0.7739326598065831,0.07739326598065834,0.8277767891809975,0.9519063533732871,False
MMSE下位項目(Δ=18-0ヶ月),PC7,0.6815154276047325,0.06815154276047328,0.8959283319414708,0.7996347654101724,False
MMSE下位項目(Δ=18-0ヶ月),PC8,0.4660972570785687,0.04660972570785689,0.9425380576493277,0.6497277379233698,False
MMSE下位項目(Δ=18-0ヶ月),PC9,0.3469503538445119,0.0346950353844512,0.9772330930337789,0.5188626624657436,False
MMSE下位項目(Δ=18-0ヶ月),PC10,0.2276690696622093,0.022766906966220937,0.9999999999999999,0.3790930288107003,False
CDR下位領域(ベースライン),PC1,2.9711728422933996,0.49519547371556666,0.49519547371556666,1.927743327986608,True
CDR下位領域(ベースライン),PC2,0.9536918696636248,0.1589486449439375,0.6541441186595042,1.4944528686551228,False
CDR下位領域(ベースライン),PC3,0.6990612215656037,0.1165102035942673,0.7706543222537715,1.20795029282711,False
CDR下位領域(ベースライン),PC4,0.628276233450472,0.10471270557507868,0.8753670278288502,0.9884343718696403,False
CDR下位領域(ベースライン),PC5,0.48899064028621253,0.0814984400477021,0.9568654678765524,0.8033682748345046,False
CDR下位領域(ベースライン),PC6,0.2588071927406863,0.04313453212344773,1.0,0.603408629084276,False
CDR下位領域(Δ=18-0ヶ月),PC1,2.708821439147746,0.4514702398579579,0.4514702398579579,1.989679599569772,True
CDR下位領域(Δ=18-0ヶ月),PC2,1.1713841791114683,0.19523069651857816,0.6467009363765361,1.504260893377342,False
CDR下位領域(Δ=18-0ヶ月),PC3,0.7944204714911816,0.132403411915197,0.7791043482917331,1.216614542210203,False
CDR下位領域(Δ=18-0ヶ月),PC4,0.6169754513048525,0.10282924188414215,0.8819335901758752,0.99061520890646,False
CDR下位領域(Δ=18-0ヶ月),PC5,0.5039267786904721,0.08398779644841206,0.9659213866242873,0.7921928641190512,False
CDR下位領域(Δ=18-0ヶ月),PC6,0.20447168025427556,0.034078613375712614,0.9999999999999999,0.5824681142712682,False
