結果変数,moderator,N(観測数),N(症例数),交互作用項係数(time×moderator),p値,収束,q値(BH-FDR)
MMSE合計,ベースラインCDR-SB,115,30,-0.0708118841530331,0.003772261841294015,True,0.00754452368258803
MMSE合計,ベースラインMoCA-J合計,123,32,-0.008966428038682332,0.33999588824647353,True,0.33999588824647353
