,CDR-SB,Global CDR,CDR:見当識,CDR:判断力・問題解決,CDR:地域社会の活動,MMSE合計,MMSE:時間見当識,MMSE:場所見当識,MoCA-J合計
CDR-SB,1.0,0.4093898092486999,0.018540383373103833,0.18951920928684898,0.2873439886287423,0.25242004337550583,0.23348794140524018,0.0,0.2740084150384839
Global CDR,0.4093898092486999,1.0,-0.03323807841994491,0.21172528084721984,0.0,0.0,-0.04714399371835859,-0.07440878346143853,0.0
CDR:見当識,0.018540383373103833,-0.03323807841994491,1.0,-0.01128460713588056,0.19841698585983208,0.23853489641703446,0.45628937228010075,-0.0,-0.05893122391631675
CDR:判断力・問題解決,0.18951920928684898,0.21172528084721984,-0.01128460713588056,1.0,0.32277734882652326,-0.0,-0.011172599246632298,0.3944166841438719,-0.07920408318361781
CDR:地域社会の活動,0.2873439886287423,0.0,0.19841698585983208,0.32277734882652326,1.0,0.0,0.0,0.06993375541472967,-0.21469891822188705
MMSE合計,0.25242004337550583,0.0,0.23853489641703446,-0.0,0.0,1.0,0.0,0.3208346917079119,0.3423904147071779
MMSE:時間見当識,0.23348794140524018,-0.04714399371835859,0.45628937228010075,-0.011172599246632298,0.0,0.0,1.0,-0.15635743427487073,0.2588586986007443
MMSE:場所見当識,0.0,-0.07440878346143853,-0.0,0.3944166841438719,0.06993375541472967,0.3208346917079119,-0.15635743427487073,1.0,0.0014438601490351338
MoCA-J合計,0.2740084150384839,0.0,-0.05893122391631675,-0.07920408318361781,-0.21469891822188705,0.3423904147071779,0.2588586986007443,0.0014438601490351338,1.0
