構成要素,検定種別,比較変数,群構成,N,効果量r,p値,構造的部分全体注意,低分散注意,オッズ比,q値(BH-FDR)
場所_市,ベースライン,CDR:地域社会の活動,落ちた(N=7) vs 落ちなかった(N=23),30,-0.6149068322981366,0.007627193001663298,False,False,,0.2379684216518949
場所_市,Δ(0→18か月),CDR:地域社会の活動,落ちた(N=6) vs 落ちなかった(N=21),27,-0.20634920634920628,0.4209290112296076,False,False,,0.7639798188463373
場所_市,ベースライン,CDR:家庭・趣味,落ちた(N=7) vs 落ちなかった(N=23),30,-0.4347826086956521,0.056199417883674885,False,False,,0.3490927473806874
場所_市,Δ(0→18か月),CDR:家庭・趣味,落ちた(N=6) vs 落ちなかった(N=21),27,-0.5952380952380953,0.020050354312976956,False,False,,0.2606546060687004
場所_市,ベースライン,CDR:身の回りの世話,落ちた(N=7) vs 落ちなかった(N=23),30,-0.1428571428571428,0.08294596260379672,False,True,,0.39210818685431176
場所_市,Δ(0→18か月),CDR:身の回りの世話,落ちた(N=6) vs 落ちなかった(N=21),27,-0.15873015873015883,0.4451460875065735,False,False,,0.7639798188463373
場所_市,精神症状,意欲低下,N=33,33,,0.685622914349277,False,False,0.7058823529411765,0.7639798188463373
場所_病院,ベースライン,MMSE合計,落ちた(N=7) vs 落ちなかった(N=26),33,0.13736263736263732,0.5898270585259862,True,False,,0.7639798188463373
場所_病院,Δ(0→18か月),MMSE合計,落ちた(N=6) vs 落ちなかった(N=25),31,0.24,0.37843130886076715,True,False,,0.7639798188463373
場所_病院,ベースライン,CDR-SB,落ちた(N=7) vs 落ちなかった(N=23),30,-0.5217391304347827,0.0389912378249172,False,False,,0.3471455506217864
場所_病院,Δ(0→18か月),CDR-SB,落ちた(N=6) vs 落ちなかった(N=21),27,-0.4126984126984128,0.13305390292544597,False,False,,0.4682031114203679
場所_病院,ベースライン,Global CDR,落ちた(N=7) vs 落ちなかった(N=23),30,-0.2732919254658386,0.07408406903312309,False,True,,0.3728101538441033
場所_病院,Δ(0→18か月),Global CDR,落ちた(N=6) vs 落ちなかった(N=21),27,-0.4761904761904763,0.031644507555244825,False,False,,0.3291028785745462
場所_病院,ベースライン,MoCA-J合計,落ちた(N=7) vs 落ちなかった(N=25),32,0.22857142857142854,0.36815810133323434,False,False,,0.7639798188463373
場所_病院,Δ(0→18か月),MoCA-J合計,落ちた(N=4) vs 落ちなかった(N=21),25,-0.1428571428571428,0.6817036047288154,False,False,,0.7639798188463373
場所_病院,ベースライン,MMSE:時間見当識,落ちた(N=7) vs 落ちなかった(N=26),33,0.22527472527472525,0.36018216923282476,False,False,,0.7639798188463373
場所_病院,Δ(0→18か月),MMSE:時間見当識,落ちた(N=6) vs 落ちなかった(N=25),31,0.31999999999999995,0.22442644766659403,False,False,,0.6251879613569405
場所_病院,ベースライン,MMSE:場所見当識,落ちた(N=7) vs 落ちなかった(N=26),33,0.46153846153846156,0.040098326864380036,True,False,,0.3471455506217864
場所_病院,Δ(0→18か月),MMSE:場所見当識,落ちた(N=6) vs 落ちなかった(N=25),31,0.23333333333333328,0.35036511026136063,True,False,,0.7639798188463373
場所_病院,ベースライン,MMSE:物品呼称,,33,,,False,True,,
場所_病院,Δ(0→18か月),MMSE:物品呼称,落ちた(N=6) vs 落ちなかった(N=25),31,-0.040000000000000036,0.6830913983096087,False,True,,0.7639798188463373
場所_病院,ベースライン,MMSE:記銘,落ちた(N=7) vs 落ちなかった(N=26),33,-0.03846153846153855,0.6565007277753426,False,True,,0.7639798188463373
場所_病院,Δ(0→18か月),MMSE:記銘,落ちた(N=6) vs 落ちなかった(N=25),31,0.040000000000000036,0.6830913983096087,False,True,,0.7639798188463373
場所_病院,ベースライン,MMSE:注意計算,落ちた(N=7) vs 落ちなかった(N=26),33,-0.06593406593406592,0.8007810311183458,False,False,,0.8669545675684104
場所_病院,Δ(0→18か月),MMSE:注意計算,落ちた(N=6) vs 落ちなかった(N=25),31,-0.020000000000000018,0.9591046696507706,False,False,,0.9948337472380503
場所_病院,ベースライン,MMSE:遅延再生,落ちた(N=7) vs 落ちなかった(N=26),33,0.038461538461538436,0.8854029264219289,False,False,,0.9332625440663574
場所_病院,Δ(0→18か月),MMSE:遅延再生,落ちた(N=6) vs 落ちなかった(N=25),31,0.09333333333333338,0.7156142922251654,False,False,,0.7917434722491191
