結果変数,精神症状,N(観測数),N(症例数),N(症状あり症例),交互作用項係数(time×精神症状),p値,収束,q値(BH-FDR)
MMSE合計,易怒性,127,33,3,0.05745316058172429,0.5314786369800528,True,0.5314786369800528
MMSE合計,意欲低下,127,33,12,-0.06425906144626312,0.25507206647438374,True,0.30608647976926046
CDR-SB,易怒性,121,33,3,-0.07856466933207139,0.025077092736608037,True,0.07523127820982412
CDR-SB,意欲低下,121,33,12,0.06919194554529634,0.001762350295122067,True,0.010574101770732402
Global CDR,易怒性,121,33,3,-0.011717194262163869,0.11008486477274655,True,0.16512729715911983
Global CDR,意欲低下,121,33,12,0.007992437797862535,0.09079181036604886,True,0.16512729715911983
