認知ドメイン,N(観測数),N(症例数),N(2時点以上),交互作用係数(time×意欲低下),p値,収束,q値(BH-FDR)
見当識合計(0-10),127,33,33,-0.04636249343564166,0.132146612749064,True,0.528586450996256
記憶合計(0-6),127,33,33,0.006455844880298505,0.737966413327156,True,0.9839552177695413
言語合計(0-5),127,33,33,-0.00015890306844204333,0.9840437763591698,True,0.9840437763591698
注意実行合計(0-9),127,33,33,-0.024930901555172687,0.4639138775978363,True,0.9278277551956726
