CDR下位領域,分類(事前規定),意欲低下あり_N,意欲低下あり_傾き平均(/月),意欲低下なし_N,意欲低下なし_傾き平均(/月)
記憶,認知系,11,0.031818181818181815,20,0.00857142857142857
見当識,認知系,11,0.020454545454545454,20,0.008333333333333335
判断力・問題解決,認知系,11,0.012878787878787878,20,0.00880952380952381
地域社会の活動,機能系,11,0.026515151515151516,20,0.012500000000000002
家庭・趣味,機能系,11,0.031060606060606063,20,0.011666666666666669
身の回りの世話,機能系,11,0.013636363636363636,20,0.011666666666666667
