認知ドメイン,比較種別,群構成,N,統計量(U),効果量r,p値,低分散注意,非モーダル数,q値(BH-FDR)
見当識合計(0-10),ベースライン,あり(N=12) vs なし(N=21),33,136.0,-0.0793650793650793,0.7152919140580002,False,24,0.9312352349583337
見当識合計(0-10),Δ(0→18か月),あり(N=10) vs なし(N=21),31,73.0,0.3047619047619048,0.17280648818237843,False,22,0.9312352349583337
記憶合計(0-6),ベースライン,あり(N=12) vs なし(N=21),33,130.5,-0.03571428571428581,0.8719801551749345,False,17,0.9312352349583337
記憶合計(0-6),Δ(0→18か月),あり(N=10) vs なし(N=21),31,107.5,-0.023809523809523725,0.925883151832973,False,14,0.9312352349583337
言語合計(0-5),ベースライン,あり(N=12) vs なし(N=21),33,132.0,-0.04761904761904767,0.4883504271844813,True,1,0.9312352349583337
言語合計(0-5),Δ(0→18か月),あり(N=10) vs なし(N=21),31,100.0,0.04761904761904767,0.7660012049596605,False,5,0.9312352349583337
注意実行合計(0-9),ベースライン,あり(N=12) vs なし(N=21),33,118.0,0.06349206349206349,0.7703664136915691,False,20,0.9312352349583337
注意実行合計(0-9),Δ(0→18か月),あり(N=10) vs なし(N=21),31,102.5,0.023809523809523836,0.9312352349583337,False,21,0.9312352349583337
