検定,観測rho,置換検定p値,n_perm,観測W統計量,置換検定p値(符号反転)
CDR-SB: 早期Δ→後期Δ,0.4840320629229849,0.012,1000,,
CDR認知系Δ vs 機能系Δ,,,1000,28.5,0.059
