CDR下位領域,分類(事前規定),N(観測数),N(症例数),N(意欲低下あり症例),交互作用項係数(time×意欲低下),p値,収束,q値(BH-FDR)
記憶,認知系,121,33,12,0.01740958709920767,0.0003316439785604251,True,0.001989863871362551
見当識,認知系,121,33,12,0.010006394323361624,0.058876437654806726,True,0.11775287530961345
判断力・問題解決,認知系,121,33,12,-0.00033335590049810373,0.9506007601235248,True,0.9506007601235248
地域社会の活動,機能系,121,33,12,0.007673096385882153,0.15505958620378085,True,0.23258937930567128
家庭・趣味,機能系,121,33,12,0.017439819926275277,0.010571020958078322,True,0.03171306287423497
身の回りの世話,機能系,121,33,12,0.006514005491676878,0.4424781809379522,True,0.5309738171255426
