指標,N(将来18ヶ月欠測群),N(18ヶ月観測群),0→12ヶ月Δ中央値(将来欠測群),0→12ヶ月Δ中央値(18ヶ月観測群),p値(Mann-Whitney U)
MMSE合計,2,28,-2.0,-0.5,0.3343432693190216
CDR-SB,3,24,0.5,1.0,0.6388869973613505
