項目,階層,"N(観測数,0-18ヶ月)",N(症例数),時間1次項係数,時間2次項係数,p値(2次項),収束,"感度分析_N(観測数,0-24ヶ月)",感度分析_2次項係数,感度分析_p値(2次項),感度分析_収束,q値(BH-FDR)
MMSE合計,主要,127,33,-0.06603400352470895,-0.006594564141639028,0.18680981507780325,True,143,-0.004585230124143558,0.14467035965437716,True,0.7440078240264394
CDR-SB,主要,121,33,0.09263105199762629,0.001023594818489368,0.6177655426141673,True,135,-0.00038376054986750594,0.793624907720993,True,0.9485362893518539
Global CDR,主要,121,33,0.010480310992604347,0.00048426376308866747,0.24800260800881313,True,135,0.0005743735586052561,0.08581800066326824,True,0.7440078240264394
CDR:記憶,CDR下位(探索的階層),121,33,0.014562731630583945,-0.00012291187444541011,0.7881832638518136,True,135,-0.00037622161638054154,0.16466965492527375,True,0.9871668589270307
CDR:見当識,CDR下位(探索的階層),121,33,0.011677508483390907,0.000360293117920171,0.44646421127539027,True,135,0.00011140234277319534,0.7431078153311377,True,0.9485362893518539
CDR:判断力・問題解決,CDR下位(探索的階層),121,33,0.009989412569706077,0.0006002300072354608,0.20140114977968981,True,135,0.00010975344621329269,0.7024435665611455,True,0.7440078240264394
CDR:地域社会の活動,CDR下位(探索的階層),121,33,0.01771928980111171,-0.0002293554794506354,0.6323575262345692,True,135,-0.0002349757318873653,0.509740701527662,True,0.9485362893518539
CDR:家庭・趣味,CDR下位(探索的階層),121,33,0.01882396931481031,6.964302119019303e-05,0.9108526442099786,True,135,-7.1215710942851995e-06,0.9866488403802806,True,0.9871668589270307
CDR:身の回りの世話,CDR下位(探索的階層),121,33,0.01637768140830002,1.2049935007616433e-05,0.9871668589270307,True,135,5.148580660349671e-05,0.9220609122724155,True,0.9871668589270307
