検定,N(症例数),早期Δ中央値(場所見当識),後期Δ中央値(判断力問題解決),Spearman順位相関係数,p値,早期Δ中央値(判断力問題解決),後期Δ中央値(場所見当識),q値(BH-FDR)
C1: 早期Δ場所見当識(0→6mo) → 後期Δ判断力問題解決(6→18mo),28,0.0,0.0,-0.42683099124907875,0.023499526754456157,,,0.046999053508912314
C2: 早期Δ判断力問題解決(0→6mo) → 後期Δ場所見当識(6→18mo),26,,,-0.19723301465263243,0.33416162472661726,0.0,0.0,0.33416162472661726
