Phase,組み合わせ,関係性,N,検定,統計量,p値(未補正),q値(BH-FDR),低分散注意
B: ベースライン→Δ,CDR:記憶(baseline) → CDR:見当識(Δ),独立した組み合わせ,27,Spearman相関,0.4031093588738078,0.037078281574740246,0.28644179161806277,
A: Δ×Δ,MMSE:遅延再生(Δ) × MMSE:図形模写(Δ),独立した組み合わせ,31,Spearman相関,0.3759128340685193,0.037149447377086635,0.28644179161806277,低分散注意: B非モーダル数=4
B: ベースライン→Δ,CDR:判断力・問題解決(baseline) → CDR:身の回りの世話(Δ),独立した組み合わせ,27,Spearman相関,0.40114819677570224,0.03809719304232803,0.2899344821143406,
A: Δ×Δ,Global CDR(Δ) × MMSE:注意計算(Δ),独立した組み合わせ,27,Spearman相関,-0.39753596963481674,0.04003227902556347,0.3007553270382076,
B: ベースライン→Δ,CDR:家庭・趣味(baseline) → MMSE:場所見当識(Δ),独立した組み合わせ,28,Spearman相関,-0.38429994874476936,0.04347680001105088,0.31920991262755216,
B: ベースライン→Δ,MMSE合計(baseline) → MMSE:時間見当識(Δ),構造的(部分-全体),31,Spearman相関,-0.3647684425842252,0.04363240279149006,0.31920991262755216,
A: Δ×Δ,MMSE:場所見当識(Δ) × MMSE:書字(Δ),独立した組み合わせ,31,Spearman相関,0.36290779400756257,0.044797942398588746,0.31920991262755216,低分散注意: B非モーダル数=2
B: ベースライン→Δ,CDR:記憶(baseline) → MMSE:時間見当識(Δ),独立した組み合わせ,28,Spearman相関,-0.38103524710519704,0.04544447194951495,0.31920991262755216,
B: ベースライン→Δ,Global CDR(baseline) → MMSE:時間見当識(Δ),独立した組み合わせ,28,Spearman相関,-0.38103524710519704,0.04544447194951495,0.31920991262755216,低分散注意: A非モーダル数=4
B: ベースライン→Δ,MMSE:時間見当識(baseline) → MMSE:復唱(Δ),独立した組み合わせ,31,Spearman相関,0.36140546790489947,0.045757052322038194,0.31920991262755216,低分散注意: B非モーダル数=3
A: Δ×Δ,MMSE:注意計算(Δ) × CDR:見当識(Δ),独立した組み合わせ,27,Spearman相関,-0.3852306423591772,0.047217863769382584,0.3255255078689199,
A: Δ×Δ,MMSE:復唱(Δ) × MMSE:書字(Δ),独立した組み合わせ,31,Spearman相関,0.35816765941328305,0.04787982106641499,0.32625087377813006,"低分散注意: A非モーダル数=3, B非モーダル数=2"
A: Δ×Δ,Global CDR(Δ) × CDR:記憶(Δ),構造的(部分-全体),27,Spearman相関,0.3832796534981288,0.04844508467218389,0.3263082714701122,
