項目,N(対応ペア),欠測数(全33例中),N(0か月のみ利用可),N(18か月のみ利用可),0か月_中央値,0か月_IQR,18か月_中央値,18か月_IQR,正規性(Shapiro-Wilk p),選択した検定,p値(未補正),点推定(差分の代表値),95%CI_下限,95%CI_上限,効果量の種類,効果量,p値(Holm補正後),有意(補正後 p<0.05)
MMSE合計,31,2,33,31,24.0,22.00-25.00,24.0,22.00-25.50,0.028306457793505838,Wilcoxon signed-rank,0.35804088236523435,0.0,-1.0,1.0,matched-pairs rank-biserial r,-0.20105820105820105,1.0,False
CDR-SB,27,6,30,30,2.0,1.50-2.75,3.0,2.00-4.50,0.07847580840099631,paired t-test,2.4864570157967623e-05,1.6111111111111112,0.9635695310905832,2.258652691131639,Cohen's dz,0.9842369180373056,0.0004972914031593524,True
Global CDR,27,6,30,30,0.5,0.50-0.50,0.5,0.50-1.00,4.165026651210145e-07,Wilcoxon signed-rank,0.00829921599528076,0.0,0.0,0.0,matched-pairs rank-biserial r,1.0,0.12448823992921139,False
MoCA-J合計,25,8,32,26,20.0,18.00-21.00,18.0,16.00-22.00,0.01566500918190711,Wilcoxon signed-rank,0.09545820868983736,-1.0,-4.0,1.0,matched-pairs rank-biserial r,-0.39492753623188404,0.8591238782085362,False
