Phase,変数A,変数B,関係性,N,統計量,p値,検定,低分散注意,q値(BH-FDR)
A: Δ×Δ,MMSE:場所見当識,MMSE:記銘,独立した組み合わせ,31,0.044853583132797026,0.8106466070612738,Spearman相関,低分散注意: B非モーダル数=1,0.9059577088557726
A: Δ×Δ,MMSE:場所見当識,MMSE:注意計算,独立した組み合わせ,31,0.16515032855114425,0.3746214898985179,Spearman相関,,0.7953920039149691
A: Δ×Δ,MMSE:場所見当識,MMSE:遅延再生,独立した組み合わせ,31,0.4986112517495373,0.004303885835034082,Spearman相関,,0.07642657876757492
A: Δ×Δ,MMSE:場所見当識,MMSE:復唱,独立した組み合わせ,31,-0.006701285723934702,0.9714591921697657,Spearman相関,低分散注意: B非モーダル数=3,0.9832039492426299
A: Δ×Δ,MMSE:場所見当識,MMSE:読字理解,独立した組み合わせ,31,,,Spearman相関,低分散注意: B非モーダル数=0,
A: Δ×Δ,MMSE:場所見当識,MMSE:3段階命令,独立した組み合わせ,31,0.0418203900237961,0.8232436925848055,Spearman相関,,0.9059577088557726
A: Δ×Δ,MMSE:場所見当識,MMSE:書字,独立した組み合わせ,31,0.36290779400756257,0.044797942398588746,Spearman相関,低分散注意: B非モーダル数=2,0.31920991262755216
A: Δ×Δ,MMSE:場所見当識,MMSE:図形模写,独立した組み合わせ,31,0.30676960724531754,0.09323398559007245,Spearman相関,低分散注意: B非モーダル数=4,0.4318004265939634
A: Δ×Δ,MMSE:場所見当識,CDR:記憶,独立した組み合わせ,27,0.03773370728251776,0.8517715642418858,Spearman相関,,0.9059577088557726
A: Δ×Δ,MMSE:場所見当識,CDR:見当識,独立した組み合わせ,27,-0.3392115634962425,0.08346329159619288,Spearman相関,,0.41715614996117883
A: Δ×Δ,MMSE:場所見当識,CDR:判断力・問題解決,独立した組み合わせ,27,-0.6268625367101591,0.0004672112110973371,Spearman相関,,0.011823109378685652
A: Δ×Δ,MMSE:場所見当識,CDR:地域社会の活動,独立した組み合わせ,27,-0.4336522646512243,0.02383290749518434,Spearman相関,,0.23276806320296706
A: Δ×Δ,MMSE:場所見当識,CDR:家庭・趣味,独立した組み合わせ,27,-0.2062784087737997,0.30193598997316384,Spearman相関,,0.7403116741601423
A: Δ×Δ,MMSE:場所見当識,CDR:身の回りの世話,独立した組み合わせ,27,-0.3280210328625661,0.09484480546023916,Spearman相関,,0.4342113749976574
A: Δ×Δ,MMSE:物品呼称,MMSE:記銘,独立した組み合わせ,31,0.03333333333333333,0.8587115128329493,Spearman相関,"低分散注意: A非モーダル数=1, B非モーダル数=1",0.9059577088557726
A: Δ×Δ,MMSE:物品呼称,MMSE:注意計算,独立した組み合わせ,31,0.041867623960574155,0.8230471867627226,Spearman相関,低分散注意: A非モーダル数=1,0.9059577088557726
A: Δ×Δ,MMSE:物品呼称,MMSE:遅延再生,独立した組み合わせ,31,-0.320353659818607,0.07891870706227767,Spearman相関,低分散注意: A非モーダル数=1,0.41291394945084564
A: Δ×Δ,MMSE:物品呼称,MMSE:復唱,独立した組み合わせ,31,-0.05976143046671969,0.7494614771728659,Spearman相関,"低分散注意: A非モーダル数=1, B非モーダル数=3",0.9059577088557726
A: Δ×Δ,MMSE:物品呼称,MMSE:読字理解,独立した組み合わせ,31,,,Spearman相関,"低分散注意: A非モーダル数=1, B非モーダル数=0",
A: Δ×Δ,MMSE:物品呼称,MMSE:3段階命令,独立した組み合わせ,31,-0.4188934209476291,0.019002412545565124,Spearman相関,低分散注意: A非モーダル数=1,0.20246206821274843
A: Δ×Δ,MMSE:物品呼称,MMSE:書字,独立した組み合わせ,31,-0.04794633014853841,0.7978498621354133,Spearman相関,"低分散注意: A非モーダル数=1, B非モーダル数=2",0.9059577088557726
A: Δ×Δ,MMSE:物品呼称,MMSE:図形模写,独立した組み合わせ,31,-0.03507361872061008,0.8514143852598337,Spearman相関,"低分散注意: A非モーダル数=1, B非モーダル数=4",0.9059577088557726
A: Δ×Δ,MMSE:物品呼称,CDR:記憶,独立した組み合わせ,27,0.16076089523520828,0.42310767284552214,Spearman相関,低分散注意: A非モーダル数=1,0.8206379864256149
A: Δ×Δ,MMSE:物品呼称,CDR:見当識,独立した組み合わせ,27,0.15742870159399536,0.43290833241515403,Spearman相関,低分散注意: A非モーダル数=1,0.8232507499347392
A: Δ×Δ,MMSE:物品呼称,CDR:判断力・問題解決,独立した組み合わせ,27,0.11316223494791972,0.5741195392916647,Spearman相関,低分散注意: A非モーダル数=1,0.8610664821163126
A: Δ×Δ,MMSE:物品呼称,CDR:地域社会の活動,独立した組み合わせ,27,0.19457794562353908,0.330775724020043,Spearman相関,低分散注意: A非モーダル数=1,0.7583787056172921
A: Δ×Δ,MMSE:物品呼称,CDR:家庭・趣味,独立した組み合わせ,27,-0.12210154987546012,0.544040947698211,Spearman相関,低分散注意: A非モーダル数=1,0.8551992424450191
A: Δ×Δ,MMSE:物品呼称,CDR:身の回りの世話,独立した組み合わせ,27,0.10409668775392324,0.6053551727652,Spearman相関,低分散注意: A非モーダル数=1,0.8715924600501406
A: Δ×Δ,MMSE:記銘,MMSE:注意計算,独立した組み合わせ,31,-0.041867623960574155,0.8230471867627226,Spearman相関,低分散注意: A非モーダル数=1,0.9059577088557726
A: Δ×Δ,MMSE:記銘,MMSE:遅延再生,独立した組み合わせ,31,0.08008841495465174,0.6684486822123813,Spearman相関,低分散注意: A非モーダル数=1,0.8979749245731541
A: Δ×Δ,MMSE:記銘,MMSE:復唱,独立した組み合わせ,31,0.05976143046671969,0.7494614771728659,Spearman相関,"低分散注意: A非モーダル数=1, B非モーダル数=3",0.9059577088557726
A: Δ×Δ,MMSE:記銘,MMSE:読字理解,独立した組み合わせ,31,,,Spearman相関,"低分散注意: A非モーダル数=1, B非モーダル数=0",
A: Δ×Δ,MMSE:記銘,MMSE:3段階命令,独立した組み合わせ,31,-0.0698155701579382,0.7090006737636964,Spearman相関,低分散注意: A非モーダル数=1,0.9051729734760916
A: Δ×Δ,MMSE:記銘,MMSE:書字,独立した組み合わせ,31,0.04794633014853841,0.7978498621354133,Spearman相関,"低分散注意: A非モーダル数=1, B非モーダル数=2",0.9059577088557726
