項目,満点,あり_Δ18M,なし_Δ18M,差_あり引くなし,Cliffs_delta,p_MannWhitney_補正前,p_Welch_補正前,q_MannWhitney_FDR補正後,q_Welch_FDR補正後
地域社会の活動,,+0.31 ± 0.53,+0.31 ± 0.30,0.007,-0.125,0.5976,0.9731,0.9522,0.9731
記憶,,+0.38 ± 0.52,+0.25 ± 0.31,0.125,0.09,0.7073,0.541,0.9522,0.9731
身の回りの世話,,+0.12 ± 0.35,+0.17 ± 0.38,-0.042,-0.042,0.8242,0.7909,0.9522,0.9731
判断力・問題解決,,+0.12 ± 0.35,+0.17 ± 0.30,-0.042,-0.056,0.8266,0.7763,0.9522,0.9731
見当識,,+0.19 ± 0.37,+0.19 ± 0.25,-0.007,0.035,0.8992,0.9625,0.9522,0.9731
家庭・趣味,,+0.38 ± 0.64,+0.31 ± 0.35,0.069,0.021,0.9522,0.7799,0.9522,0.9731
