群,n,参照帯を超えて低下した症例数,割合,Δ18M平均,Δ18M_SD,Δ18M中央値
改善訴えあり,9,2,22.2%,0.22,4.76,1.0
改善訴えなし,20,6,30.0%,-0.75,2.83,0.0
