群,n,ベースラインMMSE平均,ベースラインSD,Δ18M平均,Δ18M_SD,Δ18M最小,Δ18M最大,改善例数,不変例数,悪化例数,個人内変動幅の平均,ピーク上昇幅の平均
訴えあり,9,22.89,1.76,0.22,4.76,-8,5,6,0,3,4.67,2.67
訴えなし,20,24.25,2.07,-0.75,2.83,-9,4,7,4,9,3.05,1.15
