転帰,キー,n_あり,n_なし,Δあり,Δなし,Δあり中央値,Δなし中央値,U,p_raw,効果量r,CLES,必要n_1対1,Spearman_rho,p_rho,BLあり,BLなし,p_BL差,BL調整_群間差,p_BL調整,n_余地あり,p_余地限定,Δあり_余地,Δなし_余地,p_年換算,n年換算,族,p_raw_FDR,解析セット,備考
CDR 家庭・趣味,ΔCDR_家庭・趣味,6,10,"0［0, 0.5］（0, 0, 0, 0, 0, 0.5）","0［0, 1］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 1）",0,0,22.5,0.49226,-0.25,0.375,168,-0.2582,0.33428,"0.25［0, 0.5］（0, 0, 0, 0.5, 0.5, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5）",0.56219,-0.10667,0.53609,6/10,0.49226,"0［0, 0.5］（0, 0, 0, 0, 0, 0.5）","0［0, 1］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 1）",0.35431,5/8,CDR下位領域,0.73839,判定保留の1例をあり群に加える（6例 vs 10例）,
CDR 身の回りの世話,ΔCDR_身の回りの世話,6,10,"0［0, 0］（0, 0, 0, 0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 0, 1）",0,0,27,0.79246,-0.1,0.45,1047,-0.2,0.45769,"0［0, 0］（0, 0, 0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",,-0.1,1,6/10,0.79246,"0［0, 0］（0, 0, 0, 0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 0, 1）",0.83294,5/8,CDR下位領域,0.87488,判定保留の1例をあり群に加える（6例 vs 10例）,
MMSE合計,ΔMMSE合計,3,10,"-1［-2, 3］（-2, -1, 3）","0［-4, 3］（-4, -2, -2, -1, 0, 0, 1, 1, 1, 3）",-1,0,15,1,0,0.5,,0,1,"25［22, 28］（22, 25, 28）","24.5［22, 28］（22, 22, 24, 24, 24, 25, 25, 25, 27, 28）",0.81119,0.47273,0.73427,3/10,1,"-1［-2, 3］（-2, -1, 3）","0［-4, 3］（-4, -2, -2, -1, 0, 0, 1, 1, 1, 3）",1,3/8,主要（総合点）,1,ドナネマブ2例を除く（3例 vs 10例）,
CDR-SB,ΔCDR-SB,3,10,"0［0, 0.5］（0, 0, 0.5）","1［0, 2.5］（0, 0, 0.5, 0.5, 1, 1, 1, 2, 2, 2.5）",0,1,5,0.11189,-0.66667,0.16667,24,-0.50121,0.081012,"1.5［1, 2.5］（1, 1.5, 2.5）","1.5［0.5, 2.5］（0.5, 1, 1, 1, 1.5, 1.5, 2, 2, 2, 2.5）",0.81119,-0.91247,0.1014,3/10,0.11189,"0［0, 0.5］（0, 0, 0.5）","1［0, 2.5］（0, 0, 0.5, 0.5, 1, 1, 1, 2, 2, 2.5）",0.19394,3/8,主要（総合点）,0.33566,ドナネマブ2例を除く（3例 vs 10例）,
Global CDR,ΔGlobalCDR,3,10,"0［0, 0］（0, 0, 0）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5）",0,0,12,0.69231,-0.2,0.4,262,-0.23355,0.44252,"0.5［0.5, 0.5］（0.5, 0.5, 0.5）","0.5［0.5, 0.5］（0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5）",,-0.1,1,3/10,0.69231,"0［0, 0］（0, 0, 0）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5）",0.6303,3/8,主要（総合点）,1,ドナネマブ2例を除く（3例 vs 10例）,
MoCA-J,ΔMoCA-J,0,5,,,,,,,,,,,,,,,,,,,,,,,主要（総合点）,,ドナネマブ2例を除く（3例 vs 10例）,いずれかの群が0例
MMSE 時間見当識,ΔMMSE_時間見当識,3,10,"-1［-1, 2］（-1, -1, 2）","-1［-3, 0］（-3, -1, -1, -1, -1, -1, 0, 0, 0, 0）",-1,-1,17,0.81119,0.13333,0.56667,589,0.10786,0.72579,"3［2, 5］（2, 3, 5）","5［3, 5］（3, 3, 3, 4, 5, 5, 5, 5, 5, 5）",0.37063,0.64553,0.37063,3/10,0.81119,"-1［-1, 2］（-1, -1, 2）","-1［-3, 0］（-3, -1, -1, -1, -1, -1, 0, 0, 0, 0）",1,3/8,MMSE下位項目,0.93706,ドナネマブ2例を除く（3例 vs 10例）,
MMSE 場所見当識,ΔMMSE_場所見当識,3,10,"1［0, 1］（0, 1, 1）","0［-1, 2］（-1, 0, 0, 0, 0, 0, 0, 0, 0, 2）",1,0,23,0.21678,0.53333,0.76667,37,0.47776,0.098698,"4［4, 5］（4, 4, 5）","4.5［3, 5］（3, 4, 4, 4, 4, 5, 5, 5, 5, 5）",0.93706,0.51212,0.12587,3/10,0.21678,"1［0, 1］（0, 1, 1）","0［-1, 2］（-1, 0, 0, 0, 0, 0, 0, 0, 0, 2）",0.13333,3/8,MMSE下位項目,0.65035,ドナネマブ2例を除く（3例 vs 10例）,
MMSE 物品呼称,ΔMMSE_物品呼称,3,10,"0［0, 0］（0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"2［2, 2］（2, 2, 2）","2［2, 2］（2, 2, 2, 2, 2, 2, 2, 2, 2, 2）",,,,3/10,,,,,,MMSE下位項目,,ドナネマブ2例を除く（3例 vs 10例）,全例同値
MMSE 記銘,ΔMMSE_記銘,3,10,"0［0, 0］（0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 1, 1）",0,0,12,0.69231,-0.2,0.4,262,-0.23355,0.44252,"3［3, 3］（3, 3, 3）","3［2, 3］（2, 2, 3, 3, 3, 3, 3, 3, 3, 3）",0.69231,-8.8818e-17,1,3/10,0.69231,"0［0, 0］（0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 1, 1）",0.92121,3/8,MMSE下位項目,0.93706,ドナネマブ2例を除く（3例 vs 10例）,
MMSE 注意計算,ΔMMSE_注意計算,3,10,"0［0, 1］（0, 0, 1）","0［-3, 3］（-3, 0, 0, 0, 0, 0, 0, 1, 1, 3）",0,0,16,0.93706,0.066667,0.53333,2355,0.056037,0.85572,"5［3, 5］（3, 5, 5）","4［1, 5］（1, 3, 3, 4, 4, 4, 5, 5, 5, 5）",0.69231,0.47037,0.51748,3/10,0.93706,"0［0, 1］（0, 0, 1）","0［-3, 3］（-3, 0, 0, 0, 0, 0, 0, 1, 1, 3）",0.6303,3/8,MMSE下位項目,0.93706,ドナネマブ2例を除く（3例 vs 10例）,
MMSE 遅延再生,ΔMMSE_遅延再生,3,10,"-1［-1, -1］（-1, -1, -1）","0［-1, 0］（-1, 0, 0, 0, 0, 0, 0, 0, 0, 0）",-1,0,1.5,0.027972,-0.9,0.05,13,-0.82158,0.00057163,"1［1, 1］（1, 1, 1）","0［0, 3］（0, 0, 0, 0, 0, 0, 0, 1, 1, 3）",0.16084,-0.81525,0.013986,3/3,0.4,"-1［-1, -1］（-1, -1, -1）","0［-1, 0］（-1, 0, 0）",0.012121,3/8,MMSE下位項目,0.16783,ドナネマブ2例を除く（3例 vs 10例）,
MMSE 復唱,ΔMMSE_復唱,3,10,"0［0, 0］（0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 0, 1）",0,0,13.5,0.93706,-0.1,0.45,1047,-0.15811,0.60592,"1［1, 1］（1, 1, 1）","1［0, 1］（0, 0, 1, 1, 1, 1, 1, 1, 1, 1）",0.69231,-2.2204e-17,1,3/8,,,,0.92121,3/8,MMSE下位項目,0.93706,ドナネマブ2例を除く（3例 vs 10例）,
MMSE 読字理解,ΔMMSE_読字理解,3,10,"0［0, 0］（0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"1［1, 1］（1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",,,,3/10,,,,,,MMSE下位項目,,ドナネマブ2例を除く（3例 vs 10例）,全例同値
MMSE 3段階命令,ΔMMSE_3段階命令,3,10,"0［0, 0］（0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"3［3, 3］（3, 3, 3）","3［2, 3］（2, 3, 3, 3, 3, 3, 3, 3, 3, 3）",0.93706,,,3/10,,,,,,MMSE下位項目,,ドナネマブ2例を除く（3例 vs 10例）,全例同値
MMSE 書字,ΔMMSE_書字,3,10,"0［0, 0］（0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"1［1, 1］（1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",,,,3/10,,,,,,MMSE下位項目,,ドナネマブ2例を除く（3例 vs 10例）,全例同値
MMSE 図形模写,ΔMMSE_図形模写,3,10,"0［0, 0］（0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"1［1, 1］（1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",,,,3/10,,,,,,MMSE下位項目,,ドナネマブ2例を除く（3例 vs 10例）,全例同値
CDR 記憶,ΔCDR_記憶,3,10,"0［0, 0］（0, 0, 0）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0,0,9,0.37063,-0.4,0.3,66,-0.36515,0.21989,"0.5［0.5, 0.5］（0.5, 0.5, 0.5）","0.5［0.5, 0.5］（0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5）",,-0.2,0.4965,3/10,0.37063,"0［0, 0］（0, 0, 0）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.49697,3/8,CDR下位領域,0.74126,ドナネマブ2例を除く（3例 vs 10例）,
CDR 見当識,ΔCDR_見当識,3,10,"0［0, 0.5］（0, 0, 0.5）","0.25［0, 0.5］（0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0.5）",0,0.25,12.5,0.81119,-0.16667,0.41667,377,-0.14086,0.64623,"0.5［0, 0.5］（0, 0.5, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.57343,-0.010317,1,3/10,0.81119,"0［0, 0.5］（0, 0, 0.5）","0.25［0, 0.5］（0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0.5）",0.92121,3/8,CDR下位領域,0.93706,ドナネマブ2例を除く（3例 vs 10例）,
CDR 判断力・問題解決,ΔCDR_判断力・問題解決,3,10,"0［0, 0］（0, 0, 0）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5）",0,0,13.5,0.93706,-0.1,0.45,1047,-0.15811,0.60592,"0.5［0, 0.5］（0, 0.5, 0.5）","0.5［0, 0.5］（0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5）",0.69231,-0.039394,0.96503,3/10,0.93706,"0［0, 0］（0, 0, 0）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5）",0.92121,3/8,CDR下位領域,0.93706,ドナネマブ2例を除く（3例 vs 10例）,
CDR 地域社会の活動,ΔCDR_地域社会の活動,3,10,"0［0, 0］（0, 0, 0）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0,0,9,0.37063,-0.4,0.3,66,-0.36515,0.21989,"0［0, 0.5］（0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.93706,-0.195,0.41608,3/10,0.37063,"0［0, 0］（0, 0, 0）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.27879,3/8,CDR下位領域,0.74126,ドナネマブ2例を除く（3例 vs 10例）,
CDR 家庭・趣味,ΔCDR_家庭・趣味,3,10,"0［0, 0］（0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 1）",0,0,9,0.37063,-0.4,0.3,66,-0.36056,0.22618,"0.5［0, 0.5］（0, 0.5, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5）",0.46853,-0.13542,0.58741,3/10,0.37063,"0［0, 0］（0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 1）",0.49697,3/8,CDR下位領域,0.74126,ドナネマブ2例を除く（3例 vs 10例）,
CDR 身の回りの世話,ΔCDR_身の回りの世話,3,10,"0［0, 0］（0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 0, 1）",0,0,13.5,0.93706,-0.1,0.45,1047,-0.15811,0.60592,"0［0, 0］（0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",,-0.1,1,3/10,0.93706,"0［0, 0］（0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 0, 1）",0.92121,3/8,CDR下位領域,0.93706,ドナネマブ2例を除く（3例 vs 10例）,
MMSE合計,ΔMMSE合計,4,10,"-0.5［-2, 3］（-2, -1, 0, 3）","0［-4, 3］（-4, -2, -2, -1, 0, 0, 1, 1, 1, 3）",-0.5,0,20,1,0,0.5,,0,1,"24［22, 28］（22, 23, 25, 28）","24.5［22, 28］（22, 22, 24, 24, 24, 25, 25, 25, 27, 28）",0.94505,0.25829,0.83616,4/10,1,"-0.5［-2, 3］（-2, -1, 0, 3）","0［-4, 3］（-4, -2, -2, -1, 0, 0, 1, 1, 1, 3）",1,3/8,主要（総合点）,1,レカネマブのみ・判定保留を含む,
CDR-SB,ΔCDR-SB,4,10,"0.25［0, 2］（0, 0, 0.5, 2）","1［0, 2.5］（0, 0, 0.5, 0.5, 1, 1, 1, 2, 2, 2.5）",0.25,1,13,0.37363,-0.35,0.325,86,-0.28145,0.32965,"1.75［1, 2.5］（1, 1.5, 2, 2.5）","1.5［0.5, 2.5］（0.5, 1, 1, 1, 1.5, 1.5, 2, 2, 2, 2.5）",0.63536,-0.49203,0.34765,4/10,0.37363,"0.25［0, 2］（0, 0, 0.5, 2）","1［0, 2.5］（0, 0, 0.5, 0.5, 1, 1, 1, 2, 2, 2.5）",0.19394,3/8,主要（総合点）,1,レカネマブのみ・判定保留を含む,
Global CDR,ΔGlobalCDR,4,10,"0［0, 0.5］（0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5）",0,0,21,0.94505,0.05,0.525,4187,0.055048,0.85173,"0.5［0.5, 0.5］（0.5, 0.5, 0.5, 0.5）","0.5［0.5, 0.5］（0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5）",,0.025,1,4/10,0.94505,"0［0, 0.5］（0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5）",0.6303,3/8,主要（総合点）,1,レカネマブのみ・判定保留を含む,
MoCA-J,ΔMoCA-J,1,5,"1［1, 1］（1）","0［-4, 2］（-4, -2, 0, 1, 2）",1,0,3.5,1,0.4,0.7,66,0.26568,0.61085,"17［17, 17］（17）","21［19, 24］（19, 21, 21, 23, 24）",0.33333,1.5533,0.83333,1/5,1,"1［1, 1］（1）","0［-4, 2］（-4, -2, 0, 1, 2）",,,主要（総合点）,1,レカネマブのみ・判定保留を含む,
MMSE 時間見当識,ΔMMSE_時間見当識,4,10,"0［-1, 2］（-1, -1, 1, 2）","-1［-3, 0］（-3, -1, -1, -1, -1, -1, 0, 0, 0, 0）",0,-1,27,0.37363,0.35,0.675,86,0.29694,0.30256,"2.5［2, 5］（2, 2, 3, 5）","5［3, 5］（3, 3, 3, 4, 5, 5, 5, 5, 5, 5）",0.14186,0.67226,0.31169,4/10,0.37363,"0［-1, 2］（-1, -1, 1, 2）","-1［-3, 0］（-3, -1, -1, -1, -1, -1, 0, 0, 0, 0）",1,3/8,MMSE下位項目,0.83916,レカネマブのみ・判定保留を含む,
MMSE 場所見当識,ΔMMSE_場所見当識,4,10,"0.5［0, 1］（0, 0, 1, 1）","0［-1, 2］（-1, 0, 0, 0, 0, 0, 0, 0, 0, 2）",0.5,0,28,0.3037,0.4,0.7,66,0.39372,0.16366,"4.5［4, 5］（4, 4, 5, 5）","4.5［3, 5］（3, 4, 4, 4, 4, 5, 5, 5, 5, 5）",0.94505,0.47895,0.14785,4/10,0.3037,"0.5［0, 1］（0, 0, 1, 1）","0［-1, 2］（-1, 0, 0, 0, 0, 0, 0, 0, 0, 2）",0.13333,3/8,MMSE下位項目,0.83916,レカネマブのみ・判定保留を含む,
MMSE 物品呼称,ΔMMSE_物品呼称,4,10,"0［0, 0］（0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"2［2, 2］（2, 2, 2, 2）","2［2, 2］（2, 2, 2, 2, 2, 2, 2, 2, 2, 2）",,,,4/10,,,,,,MMSE下位項目,,レカネマブのみ・判定保留を含む,全例同値
MMSE 記銘,ΔMMSE_記銘,4,10,"0［0, 0］（0, 0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 1, 1）",0,0,16,0.63536,-0.2,0.4,262,-0.2582,0.37278,"3［3, 3］（3, 3, 3, 3）","3［2, 3］（2, 2, 3, 3, 3, 3, 3, 3, 3, 3）",0.63536,-4.4409e-17,1,4/10,0.63536,"0［0, 0］（0, 0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 1, 1）",0.92121,3/8,MMSE下位項目,0.83916,レカネマブのみ・判定保留を含む,
MMSE 注意計算,ΔMMSE_注意計算,4,10,"0［-2, 1］（-2, 0, 0, 1）","0［-3, 3］（-3, 0, 0, 0, 0, 0, 0, 1, 1, 3）",0,0,17,0.73327,-0.15,0.425,466,-0.13102,0.65527,"5［3, 5］（3, 5, 5, 5）","4［1, 5］（1, 3, 3, 4, 4, 4, 5, 5, 5, 5）",0.45355,0.059434,0.93307,4/10,0.73327,"0［-2, 1］（-2, 0, 0, 1）","0［-3, 3］（-3, 0, 0, 0, 0, 0, 0, 1, 1, 3）",0.6303,3/8,MMSE下位項目,0.83916,レカネマブのみ・判定保留を含む,
MMSE 遅延再生,ΔMMSE_遅延再生,4,10,"-1［-1, 0］（-1, -1, -1, 0）","0［-1, 0］（-1, 0, 0, 0, 0, 0, 0, 0, 0, 0）",-1,0,7,0.075924,-0.65,0.175,25,-0.65,0.011855,"1［0, 1］（0, 1, 1, 1）","0［0, 3］（0, 0, 0, 0, 0, 0, 0, 1, 1, 3）",0.37363,-0.60455,0.032967,3/3,0.4,"-1［-1, -1］（-1, -1, -1）","0［-1, 0］（-1, 0, 0）",0.012121,3/8,MMSE下位項目,0.53147,レカネマブのみ・判定保留を含む,
MMSE 復唱,ΔMMSE_復唱,4,10,"0［0, 0］（0, 0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 0, 1）",0,0,18,0.83916,-0.1,0.45,1047,-0.17541,0.54863,"1［1, 1］（1, 1, 1, 1）","1［0, 1］（0, 0, 1, 1, 1, 1, 1, 1, 1, 1）",0.63536,4.4409e-17,1,4/8,,,,0.92121,3/8,MMSE下位項目,0.83916,レカネマブのみ・判定保留を含む,
MMSE 読字理解,ΔMMSE_読字理解,4,10,"0［0, 0］（0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"1［1, 1］（1, 1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",,,,4/10,,,,,,MMSE下位項目,,レカネマブのみ・判定保留を含む,全例同値
MMSE 3段階命令,ΔMMSE_3段階命令,4,10,"0［0, 0］（0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"3［3, 3］（3, 3, 3, 3）","3［2, 3］（2, 3, 3, 3, 3, 3, 3, 3, 3, 3）",0.83916,,,4/10,,,,,,MMSE下位項目,,レカネマブのみ・判定保留を含む,全例同値
MMSE 書字,ΔMMSE_書字,4,10,"0［0, 0］（0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"1［1, 1］（1, 1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",,,,4/10,,,,,,MMSE下位項目,,レカネマブのみ・判定保留を含む,全例同値
MMSE 図形模写,ΔMMSE_図形模写,4,10,"0［0, 1］（0, 0, 0, 1）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,25,0.53946,0.25,0.625,168,0.43853,0.11676,"1［0, 1］（0, 1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",0.53946,1.1102e-16,1,3/10,,,,,,MMSE下位項目,0.83916,レカネマブのみ・判定保留を含む,
CDR 記憶,ΔCDR_記憶,4,10,"0［0, 0.5］（0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0,0,17,0.73327,-0.15,0.425,466,-0.14142,0.62963,"0.5［0.5, 0.5］（0.5, 0.5, 0.5, 0.5）","0.5［0.5, 0.5］（0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5）",,-0.075,1,4/10,0.73327,"0［0, 0.5］（0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.49697,3/8,CDR下位領域,0.83916,レカネマブのみ・判定保留を含む,
CDR 見当識,ΔCDR_見当識,4,10,"0［0, 0.5］（0, 0, 0, 0.5）","0.25［0, 0.5］（0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0.5）",0,0.25,15,0.53946,-0.25,0.375,168,-0.22822,0.43261,"0.5［0, 0.5］（0, 0.5, 0.5, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.37363,-0.025,1,4/10,0.53946,"0［0, 0.5］（0, 0, 0, 0.5）","0.25［0, 0.5］（0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0.5）",0.92121,3/8,CDR下位領域,0.83916,レカネマブのみ・判定保留を含む,
CDR 判断力・問題解決,ΔCDR_判断力・問題解決,4,10,"0［0, 0.5］（0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5）",0,0,23,0.73327,0.15,0.575,466,0.19365,0.50711,"0.5［0, 0.5］（0, 0.5, 0.5, 0.5）","0.5［0, 0.5］（0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5）",0.73327,0.0875,0.71528,4/10,0.73327,"0［0, 0.5］（0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5）",0.92121,3/8,CDR下位領域,0.83916,レカネマブのみ・判定保留を含む,
CDR 地域社会の活動,ΔCDR_地域社会の活動,4,10,"0［0, 0.5］（0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0,0,17,0.73327,-0.15,0.425,466,-0.14142,0.62963,"0.25［0, 0.5］（0, 0, 0.5, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.83916,-0.0875,0.72927,4/10,0.73327,"0［0, 0.5］（0, 0, 0, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.27879,3/8,CDR下位領域,0.83916,レカネマブのみ・判定保留を含む,
CDR 家庭・趣味,ΔCDR_家庭・趣味,4,10,"0［0, 0.5］（0, 0, 0, 0.5）","0［0, 1］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 1）",0,0,16.5,0.73327,-0.175,0.4125,342,-0.16243,0.57902,"0.25［0, 0.5］（0, 0, 0.5, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5）",0.63536,-0.058333,0.84515,4/10,0.73327,"0［0, 0.5］（0, 0, 0, 0.5）","0［0, 1］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 1）",0.49697,3/8,CDR下位領域,0.83916,レカネマブのみ・判定保留を含む,
CDR 身の回りの世話,ΔCDR_身の回りの世話,4,10,"0［0, 0］（0, 0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 0, 1）",0,0,18,0.83916,-0.1,0.45,1047,-0.17541,0.54863,"0［0, 0］（0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",,-0.1,1,4/10,0.83916,"0［0, 0］（0, 0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 0, 1）",0.92121,3/8,CDR下位領域,0.83916,レカネマブのみ・判定保留を含む,
