転帰,キー,n_あり,n_なし,Δあり,Δなし,Δあり中央値,Δなし中央値,U,p_raw,効果量r,CLES,必要n_1対1,Spearman_rho,p_rho,BLあり,BLなし,p_BL差,BL調整_群間差,p_BL調整,n_余地あり,p_余地限定,Δあり_余地,Δなし_余地,p_年換算,n年換算,族,p_raw_FDR,解析セット,備考
MMSE 復唱,ΔMMSE_復唱,5,10,"0［0, 1］（0, 0, 0, 0, 1）","0［0, 1］（0, 0, 0, 0, 0, 0, 0, 0, 0, 1）",0,0,27.5,0.85914,0.1,0.55,1047,0.13868,0.62209,"1［0, 1］（0, 1, 1, 1, 1）","1［0, 1］（0, 0, 1, 1, 1, 1, 1, 1, 1, 1）",1,0.1,0.71429,4/8,,,,0.94328,5/8,MMSE下位項目,1,主解析（確定判定のみ、5例 vs 10例）,
MMSE 読字理解,ΔMMSE_読字理解,5,10,"0［0, 0］（0, 0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"1［1, 1］（1, 1, 1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",,,,5/10,,,,,,MMSE下位項目,,主解析（確定判定のみ、5例 vs 10例）,全例同値
MMSE 3段階命令,ΔMMSE_3段階命令,5,10,"0［0, 0］（0, 0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"3［3, 3］（3, 3, 3, 3, 3）","3［2, 3］（2, 3, 3, 3, 3, 3, 3, 3, 3, 3）",0.85914,,,5/10,,,,,,MMSE下位項目,,主解析（確定判定のみ、5例 vs 10例）,全例同値
MMSE 書字,ΔMMSE_書字,5,10,"0［0, 0］（0, 0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"1［1, 1］（1, 1, 1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",,,,5/10,,,,,,MMSE下位項目,,主解析（確定判定のみ、5例 vs 10例）,全例同値
MMSE 図形模写,ΔMMSE_図形模写,5,10,"0［0, 0］（0, 0, 0, 0, 0）","0［0, 0］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0）",0,0,,,,,,,,"1［1, 1］（1, 1, 1, 1, 1）","1［1, 1］（1, 1, 1, 1, 1, 1, 1, 1, 1, 1）",,,,5/10,,,,,,MMSE下位項目,,主解析（確定判定のみ、5例 vs 10例）,全例同値
CDR 記憶,ΔCDR_記憶,5,10,"0［0, 0］（0, 0, 0, 0, 0）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0,0,15,0.25441,-0.4,0.3,66,-0.4264,0.11298,"0.5［0.5, 1］（0.5, 0.5, 0.5, 1, 1）","0.5［0.5, 0.5］（0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5）",0.25441,-0.13846,0.24875,5/10,0.25441,"0［0, 0］（0, 0, 0, 0, 0）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.35431,5/8,CDR下位領域,0.50882,主解析（確定判定のみ、5例 vs 10例）,
CDR 見当識,ΔCDR_見当識,5,10,"0［0, 0.5］（0, 0, 0, 0, 0.5）","0.25［0, 0.5］（0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0.5）",0,0.25,17.5,0.43956,-0.3,0.35,117,-0.28868,0.29673,"0.5［0, 0.5］（0, 0.5, 0.5, 0.5, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.25441,-0.032143,0.76357,5/10,0.43956,"0［0, 0.5］（0, 0, 0, 0, 0.5）","0.25［0, 0.5］（0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0.5）",0.5237,5/8,CDR下位領域,0.65934,主解析（確定判定のみ、5例 vs 10例）,
CDR 判断力・問題解決,ΔCDR_判断力・問題解決,5,10,"0［0, 0］（0, 0, 0, 0, 0）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5）",0,0,22.5,0.85914,-0.1,0.45,1047,-0.18898,0.49996,"0.5［0, 1］（0, 0.5, 0.5, 1, 1）","0.5［0, 0.5］（0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5）",0.51349,-0.05,1,5/10,0.85914,"0［0, 0］（0, 0, 0, 0, 0）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5）",0.83294,5/8,CDR下位領域,0.85914,主解析（確定判定のみ、5例 vs 10例）,
CDR 地域社会の活動,ΔCDR_地域社会の活動,5,10,"0［0, 0］（0, 0, 0, 0, 0）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0,0,15,0.25441,-0.4,0.3,66,-0.4264,0.11298,"0.5［0, 1］（0, 0, 0.5, 0.5, 1）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.43956,-0.19535,0.22244,5/10,0.25441,"0［0, 0］（0, 0, 0, 0, 0）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5）",0.17094,5/8,CDR下位領域,0.50882,主解析（確定判定のみ、5例 vs 10例）,
CDR 家庭・趣味,ΔCDR_家庭・趣味,5,10,"0［0, 0］（0, 0, 0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 1）",0,0,15,0.25441,-0.4,0.3,66,-0.42258,0.1166,"0.5［0, 0.5］（0, 0, 0.5, 0.5, 0.5）","0［0, 0.5］（0, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5）",0.43956,-0.16667,0.35531,5/10,0.25441,"0［0, 0］（0, 0, 0, 0, 0）","0［0, 1］（0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 1）",0.35431,5/8,CDR下位領域,0.50882,主解析（確定判定のみ、5例 vs 10例）,
