時点,区分,項目,非改善群,非改善群n,改善群,改善群n,改善群の個別値,p
6か月,変化量,ΔMMSE 図形模写,-0.1±0.3,12,0.5±0.7,2,"1, 0",0.3516483516483517
6か月,変化量,ΔCDR 記憶,0.08±0.19,12,0.00±0.00,2,"0, 0",0.7912087912087913
6か月,変化量,ΔCDR 見当識,0.25±0.26,12,0.00±0.00,2,"0, 0",0.3516483516483517
6か月,変化量,ΔCDR 判断力・問題解決,0.00±0.00,12,0.00±0.00,2,"0, 0",
6か月,変化量,ΔCDR 地域社会の活動,0.00±0.00,12,0.00±0.00,2,"0, 0",
6か月,変化量,ΔCDR 家庭・趣味,0.08±0.19,12,0.25±0.35,2,"0.5, 0",0.5494505494505495
6か月,変化量,ΔCDR 身の回りの世話,0.00±0.00,12,0.00±0.00,2,"0, 0",
12か月,患者背景,年齢（歳）,76.4±4.7,8,75.0,1,75,0.8888888888888888
12か月,NPI,NPI-Apathy score 初回（点）,0.00±0.00,8,1.00,1,1,0.2222222222222222
12か月,NPI,NPI-Apathy score 追跡時（点）,0.50±0.76,8,0.00,1,0,0.8888888888888888
12か月,NPI,NPI-Apathy score 変化量（点）,0.50±0.76,8,-1.00,1,-1,0.2222222222222222
12か月,初回,初回 MMSE合計,24.6±2.1,8,23.0,1,23,0.6666666666666666
12か月,初回,初回 CDR-SB,1.4±0.7,8,2.0,1,2,0.6666666666666666
12か月,初回,初回 Global CDR,0.50±0.00,8,0.50,1,0.5,
12か月,初回,初回 MoCA-J,21.4±2.4,7,17.0,1,17,0.25
12か月,初回,初回 MMSE 時間見当識,4.4±0.9,8,2.0,1,2,0.2222222222222222
12か月,初回,初回 MMSE 場所見当識,4.2±0.7,8,5.0,1,5,0.6666666666666666
12か月,初回,初回 MMSE 物品呼称,2.0±0.0,8,2.0,1,2,
12か月,初回,初回 MMSE 記銘,2.9±0.4,8,3.0,1,3,1.0
12か月,初回,初回 MMSE 注意計算,3.8±1.4,8,5.0,1,5,0.6666666666666666
12か月,初回,初回 MMSE 遅延再生,0.6±1.1,8,0.0,1,0,0.8888888888888888
12か月,初回,初回 MMSE 復唱,0.9±0.4,8,1.0,1,1,1.0
12か月,初回,初回 MMSE 読字理解,1.0±0.0,8,1.0,1,1,
12か月,初回,初回 MMSE 3段階命令,2.9±0.4,8,3.0,1,3,1.0
12か月,初回,初回 MMSE 書字,1.0±0.0,8,1.0,1,1,
12か月,初回,初回 MMSE 図形模写,1.0±0.0,8,0.0,1,0,0.2222222222222222
