n1,n2,p,r,CLES,p_min,族,転帰,キー,対照,改善群値,対照中央値,対照範囲,p_BL差,BL改善群,BL対照中央値,p_FDR
1,72,1,0.013889,0.50694,0.027397,MMSE下位項目,MMSE 復唱,ΔMMSE_復唱,対照B（全治療例）,+0,0,"［-1, 1］",0.9589,1,1,1
1,72,,,,,MMSE下位項目,MMSE 読字理解,ΔMMSE_読字理解,対照B（全治療例）,+0,0,"［0, 0］",,,,
1,72,0.87671,-0.13889,0.43056,0.027397,MMSE下位項目,MMSE 3段階命令,ΔMMSE_3段階命令,対照B（全治療例）,+0,0,"［-1, 2］",0.82192,3,3,1
1,72,1,0.013889,0.50694,0.027397,MMSE下位項目,MMSE 書字,ΔMMSE_書字,対照B（全治療例）,+0,0,"［-1, 0］",,,,1
1,72,0.93151,0.083333,0.54167,0.027397,MMSE下位項目,MMSE 図形模写,ΔMMSE_図形模写,対照B（全治療例）,+0,0,"［-1, 1］",0.9863,1,1,1
1,70,0.73239,-0.3,0.35,0.028169,CDR下位領域,CDR 記憶,ΔCDR_記憶,対照B（全治療例）,+0,0,"［0, 1.5］",0.90141,0.5,0.5,0.87324
1,70,0.84507,-0.18571,0.40714,0.028169,CDR下位領域,CDR 見当識,ΔCDR_見当識,対照B（全治療例）,+0,0,"［-0.5, 0.5］",0.78873,0.5,0.5,0.87324
1,70,0.8169,-0.21429,0.39286,0.028169,CDR下位領域,CDR 判断力・問題解決,ΔCDR_判断力・問題解決,対照B（全治療例）,+0,0,"［-0.5, 0.5］",1,0.5,0.5,0.87324
1,70,0.76056,-0.25714,0.37143,0.028169,CDR下位領域,CDR 地域社会の活動,ΔCDR_地域社会の活動,対照B（全治療例）,+0,0,"［-0.5, 1.5］",0.4507,0,0.5,0.87324
1,70,0.61972,-0.4,0.3,0.028169,CDR下位領域,CDR 家庭・趣味,ΔCDR_家庭・趣味,対照B（全治療例）,+0,0,"［-0.5, 1.5］",0.50704,0,0.5,0.87324
1,70,0.87324,-0.14286,0.42857,0.028169,CDR下位領域,CDR 身の回りの世話,ΔCDR_身の回りの世話,対照B（全治療例）,+0,0,"［0, 2］",0.98592,0,0,0.87324
1,2,0.66667,1,1,0.66667,主要（総合点）,MMSE合計,ΔMMSE合計,対照C（アパシー持続群）,+3,-1.5,"［-2, -1］",0.66667,22,26.5,1
1,2,1,-0.5,0.25,0.66667,主要（総合点）,CDR-SB,ΔCDR-SB,対照C（アパシー持続群）,+0,0.25,"［0, 0.5］",1,1.5,1.75,1
1,2,,,,,主要（総合点）,Global CDR,ΔGlobalCDR,対照C（アパシー持続群）,+0,0,"［0, 0］",,,,
0,0,,,,,主要（総合点）,MoCA-J,ΔMoCA-J,対照C（アパシー持続群）,－,,－,,,,
1,2,0.66667,1,1,0.66667,MMSE下位項目,MMSE 時間見当識,ΔMMSE_時間見当識,対照C（アパシー持続群）,+2,-1,"［-1, -1］",0.66667,2,4,1
1,2,1,0.5,0.75,0.66667,MMSE下位項目,MMSE 場所見当識,ΔMMSE_場所見当識,対照C（アパシー持続群）,+1,0.5,"［0, 1］",1,4,4.5,1
1,2,,,,,MMSE下位項目,MMSE 物品呼称,ΔMMSE_物品呼称,対照C（アパシー持続群）,+0,0,"［0, 0］",,,,
1,2,,,,,MMSE下位項目,MMSE 記銘,ΔMMSE_記銘,対照C（アパシー持続群）,+0,0,"［0, 0］",,,,
1,2,0.66667,1,1,0.66667,MMSE下位項目,MMSE 注意計算,ΔMMSE_注意計算,対照C（アパシー持続群）,+1,0,"［0, 0］",0.66667,3,5,1
1,2,,,,,MMSE下位項目,MMSE 遅延再生,ΔMMSE_遅延再生,対照C（アパシー持続群）,-1,-1,"［-1, -1］",,,,
1,2,,,,,MMSE下位項目,MMSE 復唱,ΔMMSE_復唱,対照C（アパシー持続群）,+0,0,"［0, 0］",,,,
1,2,,,,,MMSE下位項目,MMSE 読字理解,ΔMMSE_読字理解,対照C（アパシー持続群）,+0,0,"［0, 0］",,,,
1,2,,,,,MMSE下位項目,MMSE 3段階命令,ΔMMSE_3段階命令,対照C（アパシー持続群）,+0,0,"［0, 0］",,,,
1,2,,,,,MMSE下位項目,MMSE 書字,ΔMMSE_書字,対照C（アパシー持続群）,+0,0,"［0, 0］",,,,
1,2,,,,,MMSE下位項目,MMSE 図形模写,ΔMMSE_図形模写,対照C（アパシー持続群）,+0,0,"［0, 0］",,,,
1,2,,,,,CDR下位領域,CDR 記憶,ΔCDR_記憶,対照C（アパシー持続群）,+0,0,"［0, 0］",,,,
1,2,1,-0.5,0.25,0.66667,CDR下位領域,CDR 見当識,ΔCDR_見当識,対照C（アパシー持続群）,+0,0.25,"［0, 0.5］",1,0.5,0.25,1
1,2,,,,,CDR下位領域,CDR 判断力・問題解決,ΔCDR_判断力・問題解決,対照C（アパシー持続群）,+0,0,"［0, 0］",1,0.5,0.25,
1,2,,,,,CDR下位領域,CDR 地域社会の活動,ΔCDR_地域社会の活動,対照C（アパシー持続群）,+0,0,"［0, 0］",1,0,0.25,
1,2,,,,,CDR下位領域,CDR 家庭・趣味,ΔCDR_家庭・趣味,対照C（アパシー持続群）,+0,0,"［0, 0］",0.66667,0,0.5,
1,2,,,,,CDR下位領域,CDR 身の回りの世話,ΔCDR_身の回りの世話,対照C（アパシー持続群）,+0,0,"［0, 0］",,,,
