n1,n2,med1,med2,min1,max1,min2,max2,u,p,r,cles,n_req_1to1,n_req_obs,note,項目,群分け,転帰,p_fdr
8,3,0,0,0,0.339,0,0,13.5,0.9212,0.125,0.5625,670,845,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR_判断力・問題解決/年,1
8,3,0,0,0,0.504,0,0.343,13,0.9212,0.08333,0.5417,1507,1900,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR_地域社会の活動/年,1
8,3,0,0,0,0.504,0,0.686,10,0.7758,-0.1667,0.4167,377,475,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR_家庭・趣味/年,1
8,3,0,0,0,0.678,0,0,13.5,0.9212,0.125,0.5625,670,845,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔCDR_身の回りの世話/年,1
8,3,0,0,0,0.339,0,0.343,9,0.6303,-0.25,0.375,168,212,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔGlobalCDR/年,1
2,1,0.678,-2.743,0,1.356,-2.743,-2.743,2,0.6667,1,1,11,12,到達可能な最小p=0.667（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMoCA-J/年,1
1,10,0,-1.228,0,0,-4.034,5.294,6.5,0.9091,0.3,0.65,117,352,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE合計/年,1
1,10,-2.057,-1.008,-2.057,-2.057,-1.935,3.529,0,0.1818,-1,0,11,32,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_時間見当識/年,1
1,10,1.371,0,1.371,1.371,-1.519,1.765,8,0.5455,0.6,0.8,30,88,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_場所見当識/年,1
1,10,0,0,0,0,0,1.935,4.5,1,-0.1,0.45,1047,3166,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_記銘/年,1
1,10,0.686,0,0.686,0.686,-3.025,1.765,9,0.3636,0.8,0.9,17,50,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_注意計算/年,1
1,10,0,0,0,0,-1.765,0,7,0.7273,0.4,0.7,66,198,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_遅延再生/年,1
1,10,0,0,0,0,0,0.968,4.5,1,-0.1,0.45,1047,3166,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMMSE_復唱/年,1
1,10,1.714,0.756,1.714,1.714,0,2.017,9,0.3636,0.8,0.9,17,50,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR-SB/年,1
1,10,0.343,0,0.343,0.343,0,0.504,8,0.5455,0.6,0.8,30,88,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_記憶/年,1
1,10,0.343,0,0.343,0.343,0,0.968,6,0.9091,0.2,0.6,262,792,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_見当識/年,1
1,10,0,0,0,0,0,0.339,4.5,1,-0.1,0.45,1047,3166,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_判断力・問題解決/年,1
1,10,0.343,0,0.343,0.343,0,0.504,8,0.5455,0.6,0.8,30,88,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_地域社会の活動/年,1
1,10,0.686,0,0.686,0.686,0,0.504,10,0.1818,1,1,11,32,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_家庭・趣味/年,1
1,10,0,0,0,0,0,0.678,4.5,1,-0.1,0.45,1047,3166,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔCDR_身の回りの世話/年,1
1,10,0.343,0,0.343,0.343,0,0.339,10,0.1818,1,1,11,32,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔGlobalCDR/年,1
1,2,-2.743,0.678,-2.743,-2.743,0,1.356,0,0.6667,-1,0,11,12,到達可能な最小p=0.667（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,C_新規出現,ΔMoCA-J/年,1
3,8,-1.765,-0.345,-3.288,5.294,-4.034,0.968,12,1,0,0.5,,,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE合計/年,1
3,8,-1.644,-1.008,-1.765,3.529,-2.057,0,12,1,0,0.5,,,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_時間見当識/年,1
3,8,1.765,0,0,1.765,-1.519,1.371,20,0.1333,0.6667,0.8333,24,30,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_場所見当識/年,1
3,8,0,0,0,0,0,1.935,10.5,0.9212,-0.125,0.4375,670,845,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_記銘/年,1
3,8,0,0,0,1.765,-3.025,0.686,15,0.6303,0.25,0.625,168,212,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_注意計算/年,1
3,8,-1.765,0,-1.765,-1.644,-1.008,0,0,0.01212,-1,0,11,14,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_遅延再生/年,1
3,8,0,0,0,0,0,0.968,10.5,0.9212,-0.125,0.4375,670,845,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔMMSE_復唱/年,1
3,8,0,0.988,0,0.822,0,2.017,5,0.1939,-0.5833,0.2083,31,39,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR-SB/年,1
3,8,0,0,0,0,0,0.504,7.5,0.497,-0.375,0.3125,75,94,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_記憶/年,1
3,8,0,0.1715,0,0.822,0,0.968,11,0.9212,-0.08333,0.4583,1507,1900,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_見当識/年,1
3,8,0,0,0,0,0,0.339,10.5,0.9212,-0.125,0.4375,670,845,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_判断力・問題解決/年,1
3,8,0,0.1695,0,0,0,0.504,6,0.2788,-0.5,0.25,42,53,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_地域社会の活動/年,1
3,8,0,0,0,0,0,0.686,7.5,0.497,-0.375,0.3125,75,94,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_家庭・趣味/年,1
3,8,0,0,0,0,0,0.678,10.5,0.9212,-0.125,0.4375,670,845,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔCDR_身の回りの世話/年,1
3,8,0,0,0,0,0,0.343,9,0.6303,-0.25,0.375,168,212,,NPI第7項目（アパシー・無関心＝意欲低下）,D_BLあり,ΔGlobalCDR/年,1
1,10,0,-1.228,0,0,-4.034,5.294,6.5,0.9091,0.3,0.65,117,352,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE合計/年,1
1,10,-2.057,-1.008,-2.057,-2.057,-1.935,3.529,0,0.1818,-1,0,11,32,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_時間見当識/年,1
1,10,1.371,0,1.371,1.371,-1.519,1.765,8,0.5455,0.6,0.8,30,88,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_場所見当識/年,1
1,10,0,0,0,0,0,1.935,4.5,1,-0.1,0.45,1047,3166,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_記銘/年,1
1,10,0.686,0,0.686,0.686,-3.025,1.765,9,0.3636,0.8,0.9,17,50,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_注意計算/年,1
1,10,0,0,0,0,-1.765,0,7,0.7273,0.4,0.7,66,198,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_遅延再生/年,1
1,10,0,0,0,0,0,0.968,4.5,1,-0.1,0.45,1047,3166,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMMSE_復唱/年,1
1,10,1.714,0.756,1.714,1.714,0,2.017,9,0.3636,0.8,0.9,17,50,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR-SB/年,1
1,10,0.343,0,0.343,0.343,0,0.504,8,0.5455,0.6,0.8,30,88,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_記憶/年,1
1,10,0.343,0,0.343,0.343,0,0.968,6,0.9091,0.2,0.6,262,792,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_見当識/年,1
1,10,0,0,0,0,0,0.339,4.5,1,-0.1,0.45,1047,3166,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_判断力・問題解決/年,1
1,10,0.343,0,0.343,0.343,0,0.504,8,0.5455,0.6,0.8,30,88,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_地域社会の活動/年,1
1,10,0.686,0,0.686,0.686,0,0.504,10,0.1818,1,1,11,32,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_家庭・趣味/年,1
1,10,0,0,0,0,0,0.678,4.5,1,-0.1,0.45,1047,3166,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔCDR_身の回りの世話/年,1
1,10,0.343,0,0.343,0.343,0,0.339,10,0.1818,1,1,11,32,到達可能な最小p=0.182（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔGlobalCDR/年,1
1,2,-2.743,0.678,-2.743,-2.743,0,1.356,0,0.6667,-1,0,11,12,到達可能な最小p=0.667（この配分では有意になりえない）,NPI第9項目（易怒性）,A_改善,ΔMoCA-J/年,1
5,6,0,-1.228,-3.038,0.968,-4.034,5.294,18.5,0.6623,0.2333,0.6167,193,194,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE合計/年,1
5,6,-1.008,-1.326,-2.057,0,-1.935,3.529,16.5,0.9307,0.1,0.55,1047,1056,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_時間見当識/年,1
5,6,0,0,-1.519,1.371,0,1.765,10,0.4286,-0.3333,0.3333,95,95,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_場所見当識/年,1
5,6,0,0,0,0,0,1.935,12.5,0.7922,-0.1667,0.4167,377,380,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_記銘/年,1
5,6,0,0,0,0.686,-3.025,1.765,19,0.5368,0.2667,0.6333,148,149,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_注意計算/年,1
5,6,0,-0.822,-1.008,0,-1.765,0,21,0.329,0.4,0.7,66,66,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_遅延再生/年,1
5,6,0,0,0,0.968,0,0,18,0.6623,0.2,0.6,262,264,,NPI第9項目（易怒性）,B_最終なし,ΔMMSE_復唱/年,1
5,6,1.008,0.756,0,1.714,0,2.017,17,0.7922,0.1333,0.5667,589,594,,NPI第9項目（易怒性）,B_最終なし,ΔCDR-SB/年,1
5,6,0,0,0,0.504,0,0.504,18,0.6623,0.2,0.6,262,264,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_記憶/年,1
5,6,0,0.4245,0,0.343,0,0.968,6,0.1255,-0.6,0.2,30,30,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_見当識/年,1
5,6,0,0,0,0.339,0,0,18,0.6623,0.2,0.6,262,264,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_判断力・問題解決/年,1
5,6,0,0,0,0.343,0,0.504,14,0.9307,-0.06667,0.4667,2355,2375,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_地域社会の活動/年,1
5,6,0,0,0,0.686,0,0.504,19,0.5368,0.2667,0.6333,148,149,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_家庭・趣味/年,1
5,6,0,0,0,0.678,0,0,18,0.6623,0.2,0.6,262,264,,NPI第9項目（易怒性）,B_最終なし,ΔCDR_身の回りの世話/年,1
5,6,0,0,0,0.343,0,0,21,0.329,0.4,0.7,66,66,,NPI第9項目（易怒性）,B_最終なし,ΔGlobalCDR/年,1
2,1,-0.6935,0,-2.743,1.356,0,0,1,1,0,0.5,,,到達可能な最小p=0.667（この配分では有意になりえない）,NPI第9項目（易怒性）,B_最終なし,ΔMoCA-J/年,1
4,7,-1.228,0,-4.034,5.294,-3.288,0.968,13,0.9273,-0.07143,0.4643,2052,2217,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE合計/年,1
4,7,-0.849,-1.519,-1.765,3.529,-2.057,0,18.5,0.5273,0.3214,0.6607,102,110,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_時間見当識/年,1
4,7,0.8825,0,0,1.765,-1.519,1.371,21,0.2303,0.5,0.75,42,46,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_場所見当識/年,1
4,7,0,0,0,0,0,1.935,12,0.7879,-0.1429,0.4286,513,555,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_記銘/年,1
4,7,0,0,-3.025,1.765,0,0.686,12,0.7879,-0.1429,0.4286,513,555,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_注意計算/年,1
4,7,-0.8825,0,-1.765,0,-1.644,0,9,0.4121,-0.3571,0.3214,83,89,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_遅延再生/年,1
4,7,0,0,0,0,0,0.968,12,0.7879,-0.1429,0.4286,513,555,,NPI第9項目（易怒性）,C_新規出現,ΔMMSE_復唱/年,1
4,7,0.345,0.968,0,2.017,0,1.714,11,0.6485,-0.2143,0.3929,228,247,,NPI第9項目（易怒性）,C_新規出現,ΔCDR-SB/年,1
4,7,0,0,0,0.504,0,0.504,14,1,0,0.5,,,,NPI第9項目（易怒性）,C_新規出現,ΔCDR_記憶/年,1
