項目,非改善群,非改善群%,改善群,改善群%,p
女性,7/12,58.3,1/1,100.0,1.0
ベースラインで易怒性あり,3/12,25.0,0/1,0.0,1.0
追跡時に易怒性あり,6/12,50.0,1/1,100.0,1.0
易怒性が新規出現（なし→あり）,4/12,33.3,1/1,100.0,0.3846153846153846
MMSE時間見当識が改善（Δ≧+1）,0/12,0.0,1/1,100.0,0.07692307692307691
MMSE時間見当識が低下（Δ≦−1）,8/12,66.7,0/1,0.0,0.3846153846153846
MMSE合計が低下（Δ≦−1）,6/12,50.0,0/1,0.0,1.0
CDR-SBが悪化（Δ≧+0.5）,9/12,75.0,0/1,0.0,0.3076923076923077
