n1,n2,med1,med2,min1,max1,min2,max2,u,p,r,cles,n_req_1to1,n_req_obs,note,項目,群分け,転帰,除外数,群1症例,群2症例,p_fdr
1,12,3,-0.5,3,3,-4,3,11.5,0.3077,0.9167,0.9583,13,44,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE合計,7,L59,"L2,L3,L24,L26,L27,L40,L41,L42,L57,L58,L60,L61",1
1,12,2,-1,2,2,-3,0,12,0.1538,1,1,11,37,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_時間見当識,7,L59,"L2,L3,L24,L26,L27,L40,L41,L42,L57,L58,L60,L61",1
1,12,1,0,1,1,-1,2,10.5,0.4615,0.75,0.875,19,66,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_場所見当識,7,L59,"L2,L3,L24,L26,L27,L40,L41,L42,L57,L58,L60,L61",1
1,12,0,0,0,0,0,1,5,0.9231,-0.1667,0.4167,377,1327,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_記銘,7,L59,"L2,L3,L24,L26,L27,L40,L41,L42,L57,L58,L60,L61",1
1,12,1,0,1,1,-3,3,10,0.4615,0.6667,0.8333,24,83,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_注意計算,7,L59,"L2,L3,L24,L26,L27,L40,L41,L42,L57,L58,L60,L61",1
1,5,-1,-1,-1,-1,-1,0,1.5,1,-0.4,0.3,66,118,到達可能な最小p=0.333（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔMMSE_遅延再生,14,L59,"L2,L40,L42,L58,L60",1
1,12,0,0.75,0,0,0,2.5,1.5,0.4615,-0.75,0.125,19,66,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR-SB,7,L59,"L2,L3,L24,L26,L27,L40,L41,L42,L57,L58,L60,L61",1
1,12,0,0,0,0,0,0.5,4,0.7692,-0.3333,0.3333,95,332,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_記憶,7,L59,"L2,L3,L24,L26,L27,L40,L41,L42,L57,L58,L60,L61",1
1,12,0,0.25,0,0,0,0.5,3,0.6154,-0.5,0.25,42,148,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_見当識,7,L59,"L2,L3,L24,L26,L27,L40,L41,L42,L57,L58,L60,L61",1
1,12,0,0,0,0,0,0.5,5.5,1,-0.08333,0.4583,1507,5306,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_判断力・問題解決,7,L59,"L2,L3,L24,L26,L27,L40,L41,L42,L57,L58,L60,L61",1
1,12,0,0,0,0,0,0.5,4,0.7692,-0.3333,0.3333,95,332,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_地域社会の活動,7,L59,"L2,L3,L24,L26,L27,L40,L41,L42,L57,L58,L60,L61",1
1,12,0,0,0,0,0,1,4,0.7692,-0.3333,0.3333,95,332,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_家庭・趣味,7,L59,"L2,L3,L24,L26,L27,L40,L41,L42,L57,L58,L60,L61",1
1,12,0,0,0,0,0,1,5.5,1,-0.08333,0.4583,1507,5306,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔCDR_身の回りの世話,7,L59,"L2,L3,L24,L26,L27,L40,L41,L42,L57,L58,L60,L61",1
1,12,0,0,0,0,0,0.5,5,0.9231,-0.1667,0.4167,377,1327,到達可能な最小p=0.154（この配分では有意になりえない）,NPI第7項目（アパシー・無関心＝意欲低下）,A_改善,ΔGlobalCDR,7,L59,"L2,L3,L24,L26,L27,L40,L41,L42,L57,L58,L60,L61",1
8,5,-0.5,0,-4,3,-2,3,16.5,0.7242,-0.175,0.4125,342,361,,NPI第7項目（アパシー・無関心＝意欲低下）,B_最終なし,ΔMMSE合計,7,"L24,L26,L40,L41,L42,L57,L59,L61","L2,L3,L27,L58,L60",1
