種別,変数1,変数2,n,rho,p,n_req_80power,p_fdr
BL×Δ,BL_CDR_身の回りの世話,ΔMMSE_復唱,70,0.01,0.9377,86843,0.9982
BL×Δ,BL_CDR_身の回りの世話,ΔMMSE_3段階命令,70,-0.049,0.6888,3307,0.9152
BL×Δ,BL_CDR_身の回りの世話,ΔMMSE_書字,70,-0.702,1.285e-11,14,1.051e-09
BL×Δ,BL_CDR_身の回りの世話,ΔMMSE_図形模写,70,-0.219,0.06816,161,0.2983
BL×Δ,BL_CDR_身の回りの世話,ΔCDR-SB,71,0.266,0.02474,109,0.1581
BL×Δ,BL_CDR_身の回りの世話,ΔCDR_記憶,71,0.357,0.00223,60,0.02537
BL×Δ,BL_CDR_身の回りの世話,ΔCDR_見当識,71,0.281,0.01759,98,0.1313
BL×Δ,BL_CDR_身の回りの世話,ΔCDR_判断力・問題解決,71,0.105,0.3829,708,0.7311
BL×Δ,BL_CDR_身の回りの世話,ΔCDR_地域社会の活動,71,0.135,0.2634,432,0.6297
BL×Δ,BL_CDR_身の回りの世話,ΔCDR_家庭・趣味,71,0.099,0.4091,791,0.7437
BL×Δ,BL_CDR_身の回りの世話,ΔCDR_身の回りの世話,71,0.413,0.0003422,44,0.005263
BL×Δ,BL_CDR_身の回りの世話,ΔGlobalCDR,71,0.192,0.1091,212,0.3921
BL×Δ,BL_CDR_身の回りの世話,ΔMoCA-J,27,-0.219,0.2715,161,0.6403
BL×Δ,BL_GlobalCDR,ΔMMSE合計,71,-0.156,0.1948,322,0.5361
BL×Δ,BL_GlobalCDR,ΔMMSE_時間見当識,70,-0.102,0.3991,747,0.7372
BL×Δ,BL_GlobalCDR,ΔMMSE_場所見当識,70,-0.255,0.0334,119,0.1887
BL×Δ,BL_GlobalCDR,ΔMMSE_物品呼称,70,0.04,0.7415,4872,0.934
BL×Δ,BL_GlobalCDR,ΔMMSE_記銘,70,-0.024,0.8468,14203,0.9814
BL×Δ,BL_GlobalCDR,ΔMMSE_注意計算,70,0.01,0.9359,81972,0.9982
BL×Δ,BL_GlobalCDR,ΔMMSE_遅延再生,70,-0.021,0.8641,18089,0.9859
BL×Δ,BL_GlobalCDR,ΔMMSE_復唱,70,0.018,0.8793,22987,0.9908
BL×Δ,BL_GlobalCDR,ΔMMSE_3段階命令,70,0.015,0.9005,33904,0.9982
BL×Δ,BL_GlobalCDR,ΔMMSE_書字,70,0.04,0.7415,4872,0.934
BL×Δ,BL_GlobalCDR,ΔMMSE_図形模写,70,-0.058,0.6353,2357,0.8993
BL×Δ,BL_GlobalCDR,ΔCDR-SB,71,-0.056,0.6452,2538,0.8998
BL×Δ,BL_GlobalCDR,ΔCDR_記憶,71,-0.085,0.479,1075,0.7961
BL×Δ,BL_GlobalCDR,ΔCDR_見当識,71,0.062,0.6069,2033,0.8809
BL×Δ,BL_GlobalCDR,ΔCDR_判断力・問題解決,71,-0.157,0.1907,316,0.5294
BL×Δ,BL_GlobalCDR,ΔCDR_地域社会の活動,71,-0.184,0.1236,229,0.4065
BL×Δ,BL_GlobalCDR,ΔCDR_家庭・趣味,71,-0.087,0.4718,1041,0.7933
BL×Δ,BL_GlobalCDR,ΔCDR_身の回りの世話,71,0.134,0.2661,437,0.6308
BL×Δ,BL_GlobalCDR,ΔGlobalCDR,71,-0.141,0.2398,391,0.5959
BL×Δ,BL_GlobalCDR,ΔMoCA-J,27,-0.421,0.02893,43,0.1751
BL×Δ,BL_MoCA-J,ΔMMSE合計,30,-0.008,0.9683,136819,0.9982
BL×Δ,BL_MoCA-J,ΔMMSE_時間見当識,30,-0.224,0.2341,155,0.5894
BL×Δ,BL_MoCA-J,ΔMMSE_場所見当識,30,-0.463,0.01001,35,0.08495
BL×Δ,BL_MoCA-J,ΔMMSE_物品呼称,30,0.27,0.1483,106,0.4488
BL×Δ,BL_MoCA-J,ΔMMSE_記銘,30,0.195,0.3024,205,0.6515
BL×Δ,BL_MoCA-J,ΔMMSE_注意計算,30,0.296,0.1127,88,0.3958
BL×Δ,BL_MoCA-J,ΔMMSE_遅延再生,30,-0.206,0.2737,182,0.6406
BL×Δ,BL_MoCA-J,ΔMMSE_復唱,30,0.285,0.1271,95,0.4109
BL×Δ,BL_MoCA-J,ΔMMSE_3段階命令,30,-0.005,0.9771,262110,0.9982
BL×Δ,BL_MoCA-J,ΔMMSE_書字,30,0.314,0.09134,78,0.3535
BL×Δ,BL_MoCA-J,ΔMMSE_図形模写,30,0.171,0.3655,266,0.7097
BL×Δ,BL_MoCA-J,ΔCDR-SB,27,0.121,0.5487,537,0.848
BL×Δ,BL_MoCA-J,ΔCDR_記憶,27,-0.03,0.8828,8848,0.9927
BL×Δ,BL_MoCA-J,ΔCDR_見当識,27,0.1,0.6197,783,0.8949
BL×Δ,BL_MoCA-J,ΔCDR_判断力・問題解決,27,0.187,0.3508,223,0.6945
BL×Δ,BL_MoCA-J,ΔCDR_地域社会の活動,27,0.118,0.5594,567,0.8506
BL×Δ,BL_MoCA-J,ΔCDR_家庭・趣味,27,-0.126,0.5305,491,0.8408
BL×Δ,BL_MoCA-J,ΔCDR_身の回りの世話,27,0.076,0.7078,1371,0.9256
BL×Δ,BL_MoCA-J,ΔGlobalCDR,27,-0.044,0.8284,4096,0.9699
BL×Δ,BL_MoCA-J,ΔMoCA-J,30,-0.204,0.2804,187,0.6406
BL×Δ,追跡期間(月),ΔMMSE合計,54,0.008,0.9559,132292,0.9982
BL×Δ,追跡期間(月),ΔMMSE_時間見当識,54,0.001,0.9922,4183940,0.9991
BL×Δ,追跡期間(月),ΔMMSE_場所見当識,54,0.143,0.3036,384,0.6515
BL×Δ,追跡期間(月),ΔMMSE_記銘,54,0.009,0.947,91408,0.9982
BL×Δ,追跡期間(月),ΔMMSE_注意計算,54,-0.025,0.8562,12317,0.9859
BL×Δ,追跡期間(月),ΔMMSE_遅延再生,54,0.038,0.7838,5370,0.9533
BL×Δ,追跡期間(月),ΔMMSE_復唱,54,-0.159,0.2495,307,0.6041
BL×Δ,追跡期間(月),ΔMMSE_3段階命令,54,0.017,0.9017,26503,0.9982
BL×Δ,追跡期間(月),ΔMMSE_書字,54,-0.216,0.1166,166,0.3998
BL×Δ,追跡期間(月),ΔMMSE_図形模写,54,-0.127,0.3597,484,0.7009
BL×Δ,追跡期間(月),ΔCDR-SB,54,0.348,0.009938,63,0.08495
BL×Δ,追跡期間(月),ΔCDR_記憶,54,0.259,0.05861,115,0.269
BL×Δ,追跡期間(月),ΔCDR_見当識,54,0.288,0.03462,93,0.1913
BL×Δ,追跡期間(月),ΔCDR_判断力・問題解決,54,0.168,0.2243,276,0.5748
BL×Δ,追跡期間(月),ΔCDR_地域社会の活動,54,0.399,0.002831,48,0.03032
BL×Δ,追跡期間(月),ΔCDR_家庭・趣味,54,0.138,0.3198,411,0.6593
BL×Δ,追跡期間(月),ΔCDR_身の回りの世話,54,0.355,0.00848,61,0.07539
BL×Δ,追跡期間(月),ΔGlobalCDR,54,0.402,0.002612,47,0.02858
BL×Δ,追跡期間(月),ΔMoCA-J,14,-0.419,0.1356,43,0.417
